name,type,start_time,duration,"ack","address","read","data"
"I2C","data",2.2008865,0.0000877,true,,,0xFD
"I2C","data",2.2009791,0.0000877,false,,,0xC1
"I2C","data",2.2010716,0.0000877,true,,,0x15
"I2C","data",2.2011642,0.0000877,true,,,0xC5
"I2C","data",2.2012567,0.0000877,true,,,0x51
"I2C","data",2.2013493,0.0000876,true,,,0xC8
"I2C","data",2.2014418,0.0000877,false,,,0x3D
"I2C","data",2.2015343,0.0000877,false,,,0x10
"I2C","data",2.2016269,0.0000877,false,,,0x71
"I2C","data",2.2017194,0.0000877,false,,,0x00
"I2C","data",2.201812,0.0000877,false,,,0x91
"I2C","data",2.2019045,0.0000877,false,,,0x04
"I2C","data",2.201997,0.0000878,true,,,0x2D
"I2C","data",2.2020896,0.0000877,true,,,0x30
"I2C","data",2.2021822,0.0000877,true,,,0x01
"I2C","data",2.2022747,0.0000877,true,,,0x18
"I2C","data",2.2023673,0.0000877,false,,,0xF4
"I2C","data",2.2024598,0.0000877,true,,,0x40
"I2C","data",2.2025524,0.0000876,false,,,0x00
"I2C","data",2.2026449,0.0000877,false,,,0x45
"I2C","data",2.2027374,0.0000877,false,,,0x20
"I2C","data",2.20283,0.0000877,true,,,0x49
"I2C","data",2.2029225,0.0000877,false,,,0x58
"I2C","data",2.203015,0.0000878,true,,,0x4C
"I2C","data",2.2031076,0.0000877,false,,,0x00
"I2C","data",2.2032001,0.0000878,true,,,0x50
"I2C","data",2.2032927,0.0000877,false,,,0x00
"I2C","data",2.2033852,0.0000878,true,,,0x54
"I2C","data",2.2034778,0.0000877,false,,,0x00
"I2C","data",2.2035703,0.0000878,false,,,0x69
"I2C","data",2.2036629,0.0000877,false,,,0x20
"I2C","data",2.2037554,0.0000877,true,,,0x6D
"I2C","data",2.203848,0.0000877,false,,,0x58
"I2C","data",2.2039405,0.0000877,true,,,0x70
"I2C","data",2.2040331,0.0000877,false,,,0x01
"I2C","start",2.2041825,0.0000001,,,,
"I2C","address",2.2041873,0.0000877,true,0x00,false,
"I2C","data",2.2042799,0.0000877,false,,,0x61
"I2C","data",2.2043724,0.0000877,false,,,0x76
"I2C","data",2.2044649,0.0000877,false,,,0x3F
"I2C","data",2.2045575,0.0000877,true,,,0x00
"I2C","data",2.20465,0.0000877,true,,,0x6D
"I2C","data",2.2047426,0.0000877,true,,,0x00
"I2C","data",2.2048351,0.0000877,false,,,0x72
"I2C","data",2.2049276,0.0000877,false,,,0x0F
"I2C","data",2.2050202,0.0000877,false,,,0x70
"I2C","data",2.2051127,0.0000877,false,,,0x33
"I2C","data",2.2052053,0.0000877,true,,,0x70
"I2C","data",2.2052978,0.0000877,true,,,0x00
"I2C","data",2.2053904,0.0000877,false,,,0x6E
"I2C","data",2.2054829,0.0000877,false,,,0x3F
"I2C","data",2.2055754,0.0000877,false,,,0x02
"I2C","data",2.205668,0.0000877,true,,,0x00
